veg_id,month_id,start_date,through_date,best
19,1,1,31,No
39,1,1,31,No
40,1,1,31,No
48,1,1,31,No
19,2,1,28,No
39,2,1,28,No
40,2,1,28,No
48,2,1,28,No
50,2,1,28,No
42,2,1,28,No
29,2,1,28,No
38,2,1,28,No
30,2,1,28,No
19,3,1,31,No
39,3,1,31,No
40,3,1,31,No
48,3,1,31,No
1,3,1,31,No
2,3,1,31,No
3,3,1,31,No
9,3,1,31,Yes
12,3,1,31,No
18,3,1,31,No
20,3,1,31,No
21,3,1,31,No
30,3,1,31,No
31,3,1,31,Yes
32,3,1,31,Yes
35,3,1,31,No
37,3,1,31,No
38,3,1,31,No
42,3,1,31,No
51,3,1,31,No
54,3,1,31,No
19,4,1,30,No
39,4,1,30,No
40,4,1,30,No
48,4,1,30,No
1,4,1,30,Yes
2,4,1,30,No
3,4,1,30,No
8,4,1,30,No
9,4,1,30,Yes
11,4,1,30,No
12,4,1,30,Yes
14,4,1,30,No
15,4,1,30,Yes
16,4,15,30,Yes
17,4,15,30,Yes
18,4,1,30,No
20,4,1,30,No
21,4,1,30,No
22,4,1,30,No
25,4,1,30,No
27,4,1,30,Yes
28,4,1,30,Yes
31,4,1,30,Yes
32,4,1,30,Yes
33,4,1,30,No
34,4,1,30,Yes
35,4,1,30,No
37,4,1,30,No
42,4,1,30,No
46,4,1,30,No
51,4,1,30,No
30,4,1,30,No
53,4,1,30,No
54,4,1,30,No
19,5,1,31,No
39,5,1,31,No
40,5,1,31,No
48,5,1,31,No
1,5,1,31,No
2,5,1,31,No
5,5,15,31,No
6,5,1,31,No
9,5,1,31,No
12,5,1,31,No
13,5,1,31,No
14,5,1,31,No
15,5,1,31,No
16,5,1,31,No
17,5,1,31,No
18,5,1,31,No
22,5,1,31,No
23,5,15,31,No
24,5,15,31,No
25,5,1,31,No
26,5,15,31,Yes
28,5,1,31,No
31,5,1,31,No
32,5,1,31,No
33,5,1,31,No
34,5,1,31,No
35,5,1,31,No
43,5,15,31,Yes
46,5,1,31,No
51,5,1,31,No
30,5,1,31,No
53,5,1,31,No
54,5,1,31,No
55,5,15,31,No
56,5,15,31,No
58,5,15,31,Yes
57,5,15,31,Yes
19,6,1,30,No
39,6,1,30,No
40,6,1,30,No
48,6,1,30,No
1,6,1,30,No
5,6,1,30,Yes
6,6,1,30,No
9,6,1,30,No
11,6,1,30,Yes
15,6,1,30,No
17,6,1,30,No
23,6,1,30,Yes
24,6,1,30,No
26,6,1,30,Yes
34,6,1,30,No
36,6,1,30,No
43,6,1,30,Yes
45,6,1,30,No
55,6,1,30,Yes
56,6,1,30,Yes
18,6,1,30,No
58,6,1,30,Yes
19,7,1,31,No
39,7,1,31,No
40,7,1,31,No
48,7,1,31,No
1,7,1,31,No
5,7,1,31,Yes
9,7,1,31,Yes
11,7,1,31,Yes
12,7,1,31,Yes
13,7,1,31,Yes
14,7,1,31,Yes
15,7,1,31,Yes
22,7,1,31,Yes
23,7,1,15,Yes
24,7,1,31,No
26,7,1,15,No
32,7,1,31,Yes
34,7,1,31,No
35,7,1,31,No
43,7,1,15,No
55,7,1,15,No
19,8,1,31,No
39,8,1,31,No
40,8,1,31,No
48,8,1,31,No
5,8,1,10,No
9,8,1,10,No
12,8,1,10,No
13,8,1,10,No
14,8,1,10,No
15,8,1,10,No
22,8,1,10,No
25,8,1,10,No
28,8,1,10,No
1,8,1,31,No
3,8,1,31,No
21,8,1,31,No
32,8,1,31,Yes
34,8,1,31,No
35,8,1,31,No
37,8,1,31,Yes
51,8,1,31,No
30,8,1,31,No
54,8,1,31,Yes
19,9,1,30,No
39,9,1,30,No
40,9,1,30,No
48,9,1,30,No
32,9,1,30,No
35,9,1,30,No
51,9,1,30,No
53,9,1,30,No
19,10,1,31,No
39,10,1,31,No
40,10,1,31,No
48,10,1,31,No
20,10,1,31,No
13,10,1,31,No
35,10,1,31,No
51,10,1,31,No
19,11,1,30,No
39,11,1,30,No
40,11,1,30,No
48,11,1,30,No
19,12,1,31,No
39,12,1,31,No
40,12,1,31,No
48,12,1,31,No
